,Phase,Formula,SG,Entry,Property,Units,Value
11726,32250,CuLa3SiS7,173,P20029027-6,energy gap,eV,3.8
11727,32252,CuLa3GeS7,173,P20029031-6,energy gap,eV,4.7
11728,32253,CuTb3SiSe7,173,P20029033-6,energy gap,eV,4.1
11729,32254,CuPr3SiSe7,173,P20029037-6,energy gap,eV,4.4
11730,32255,CuGd3SiSe7,173,P20029034-6,energy gap,eV,3.4
11731,32256,CuSm3SiSe7,173,P20029035-6,energy gap,eV,4.3
11732,32257,CuNd3SiSe7,173,P20029036-6,energy gap,eV,4.3
11733,32258,CuDy3SiSe7,173,P20029032-6,energy gap,eV,4.5
11734,32259,CuY3SiS7,173,P20029040-6,energy gap,eV,4.1
11735,32260,CuEr3SiS7,173,P20029041-6,energy gap,eV,4.0
11736,32261,CuDy3SiS7,173,P20029042-6,energy gap,eV,4.4
11737,32262,CuCe3SiSe7,173,P20029038-6,energy gap,eV,4.2
11738,32263,CuTb3SiS7,173,P20029043-6,energy gap,eV,3.9
11739,32264,CuSm3SiS7,173,P20029045-6,energy gap,eV,4.6
11740,32265,CuGd3SiS7,173,P20029044-6,energy gap,eV,4.3
11741,32266,CuLa3SiSe7,173,P20029039-6,energy gap,eV,4.5
11742,32267,CuNd3SiS7,173,P20029046-6,energy gap,eV,4.6
11743,32268,CuPr3SiS7,173,P20029047-6,energy gap,eV,4.2
11744,32269,CuCe3SiS7,173,P20029048-6,energy gap,eV,4.6
11745,32270,Sm2ErNbO7,62,P20029053-6,energy gap,eV,4.8
11746,32276,Sm2DyNbO7,62,P20029056-6,energy gap,eV,4.9
11747,32277,Sm2GdNbO7,62,P20029057-6,energy gap,eV,4.7
11748,32278,Sm2EuNbO7,62,P20029058-6,energy gap,eV,4.9
11749,32281,Sm2NbInO7,227,P20029060-6,energy gap,eV,5.5
11750,32282,Cs2KCrCl6,225,P20029063-6,energy gap,eV,5.9
11751,32283,Cs2KSmCl6,225,P20029062-6,energy gap,eV,6.8
11752,32284,Cs2KLaCl6,225,P20029061-6,energy gap,eV,6.2
11753,32285,Cs2KInCl6,225,P20029064-6,energy gap,eV,6.1
11754,32286,Cs2KYbCl6,225,P20029066-6,energy gap,eV,6.1
11755,32287,Cs2KYCl6,225,P20029065-6,energy gap,eV,6.1
11756,32288,Cs2KTmCl6,225,P20029067-6,energy gap,eV,6.1
11757,32289,Cs2KDyCl6,225,P20029070-6,energy gap,eV,6.8
11758,32290,Cs2KErCl6,225,P20029068-6,energy gap,eV,6.1
11759,32292,Cs2KHoCl6,225,P20029069-6,energy gap,eV,6.1
11760,32293,Cs2KPrCl6,225,P20029075-6,energy gap,eV,6.9
11761,32294,Cs2KGdCl6,225,P20029072-6,energy gap,eV,6.8
11762,32295,Ba2LaPaO6,225,P20029076-6,energy gap,eV,4.2
11763,32297,Cs2KNdCl6,225,P20029074-6,energy gap,eV,6.8
11764,32298,Ba2ScPaO6,225,P20029077-6,energy gap,eV,4.2
11765,32299,Ba2PaHoO6,225,P20029084-6,energy gap,eV,4.2
11766,32300,Ba2PaInO6,225,P20029078-6,energy gap,eV,4.4
11767,32301,Ba2YPaO6,225,P20029079-6,energy gap,eV,4.2
11768,32302,Ba2PaYbO6,225,P20029081-6,energy gap,eV,4.2
11769,32303,Ba2PaTmO6,225,P20029082-6,energy gap,eV,4.2
11770,32305,Ba2PaDyO6,225,P20029085-6,energy gap,eV,4.3
11771,32306,Ba2PaErO6,225,P20029083-6,energy gap,eV,4.2
11772,32307,Ba2PaGdO6,225,P20029087-6,energy gap,eV,4.2
11773,32308,Ba2PaTbO6,225,P20029086-6,energy gap,eV,4.3
11774,32309,Ba2PaEuO6,225,P20029088-6,energy gap,eV,4.2
11775,32310,Ba2PaSmO6,225,P20029089-6,energy gap,eV,4.2
11776,32311,Ba2PaPrO6,225,P20029091-6,energy gap,eV,4.2
11777,32312,Ba2CePaO6,225,P20029092-6,energy gap,eV,4.2
11778,32313,Ba2PaNdO6,225,P20029090-6,energy gap,eV,4.2
11779,32314,TlSmS2,166,P20029093-6,energy gap,eV,4.4
11780,32325,Tl0.67La2S4,220,P20029095-6,energy gap,eV,3.8
11781,32326,YVWO6,62,P20029098-6,energy gap,eV,4.6
11782,32327,YbVWO6,62,P20029099-6,energy gap,eV,4.9
11783,32330,DyVWO6,62,P20029102-6,energy gap,eV,4.5
11784,32331,ErVWO6,62,P20029100-6,energy gap,eV,4.7
11785,32332,HoVWO6,62,P20029101-6,energy gap,eV,4.6
11786,32333,TbVWO6,62,P20029103-6,energy gap,eV,4.2
11787,32335,GdVWO6,62,P20029104-6,energy gap,eV,4.5
11788,32336,EuVWO6,62,P20029105-6,energy gap,eV,4.9
11789,32337,SmVWO6,62,P20029106-6,energy gap,eV,4.5
11790,32343,Cr3PdN,221,P20029113-6,energy gap,eV,3.4
11791,32353,NdEuAlO4,139,P20029125-6,energy gap,eV,4.6
11792,32355,SmEuAlO4,139,P20029124-6,energy gap,eV,3.9
11793,32358,SrGdAlO4,139,P20029129-6,energy gap,eV,4.8
11794,32361,PrEuAlO4,139,P20029126-6,energy gap,eV,3.8
11795,32362,SrPrAlO4,139,P20029133-6,energy gap,eV,3.8
11796,32364,Eu3Al2O7,139,P20029136-6,energy gap,eV,4.8
11797,32365,Sr2NdAlO5,140,P20029134-6,energy gap,eV,3.6
11798,32366,SrNd2Al2O7,139,P20029135-6,energy gap,eV,5.3
11799,32369,NaGa[SO4]2,12,P20029137-6,energy gap,eV,5.3
11800,32371,NaFe[SO4]2,12,P20029141-6,energy gap,eV,4.1
11801,32374,AgFe[SO4]2,12,P20029140-6,energy gap,eV,4.5
11802,32375,AgV[SO4]2,12,P20029142-6,energy gap,eV,4.4
11803,32376,NaCr[SO4]2,12,P20029145-6,energy gap,eV,4.5
11804,32377,NaV[SO4]2,12,P20029143-6,energy gap,eV,4.4
11805,32383,Na3V[SO4]3,148,P20029148-6,energy gap,eV,4.2
11806,32385,Na3Fe[SO4]3,148,P20029147-6,energy gap,eV,4.3
11807,32390,Tl0.5Ti0.5Nb0.5O2F,227,P20029150-6,energy gap,eV,3.7
11808,32391,NaTiNbSnO5F2,227,P20029155-6,energy gap,eV,4.4
11809,32392,Tl0.5Ti0.5W0.5O2.5F0.5,227,P20029151-6,energy gap,eV,4.2
11810,32393,TiWPb2O7,227,P20029158-6,energy gap,eV,4.9
11811,32395,RbTiWO5F,227,P20029153-6,energy gap,eV,3.4
11812,32396,TiNbSn2O6F,227,P20029154-6,energy gap,eV,4.8
11813,32401,KSc[SO4]2,12,P20029164-6,energy gap,eV,5.0
11814,32402,KFe[SO4]2,12,P20029165-6,energy gap,eV,5.2
11815,32403,Na2TiWO5F2,44,P20029162-6,energy gap,eV,4.2
11816,32405,KV[SO4]2,12,P20029166-6,energy gap,eV,4.9
11817,32406,Cd2TiWO7,227,P20029157-6,energy gap,eV,4.2
11818,32407,K0.48Na0.52Fe[SO4]2,12,P20029167-6,energy gap,eV,5.3
11819,32408,TlFe[SO4]2,150,P20029168-6,energy gap,eV,4.9
11820,32409,[NH4]Ga[SO4]2,150,P20029174-6,energy gap,eV,5.4
11821,32410,TlV[SO4]2,150,P20029169-6,energy gap,eV,4.7
11822,32411,TlCr[SO4]2,150,P20029170-6,energy gap,eV,4.8
11823,32412,TlSc[SO4]2,150,P20029172-6,energy gap,eV,4.7
11824,32413,[NH4]Fe[SO4]2,150,P20029173-6,energy gap,eV,4.6
11825,32414,TlGa[SO4]2,150,P20029171-6,energy gap,eV,5.4
11826,32426,[NH4]In[SO4]2,155,P20029176-6,energy gap,eV,5.3
11827,32428,SmNiO3,62,P20029177-3,energy gap,eV,3.9
11828,32433,YbNiO3,62,P20029179-6,energy gap,eV,3.6
11829,32434,HoNiO3,62,P20029183-6,energy gap,eV,3.5
11830,32436,DyNiO3,62,P20029184-6,energy gap,eV,3.3
11831,32437,GdNiO3,62,P20029185-6,energy gap,eV,4.0
11832,32439,EuNiO3,62,P20029186-5,energy gap,eV,3.4
11833,32440,Eu2B5BrO9,34,P20029191-6,energy gap,eV,4.0
11834,32441,LaNiO3,167,P20029187-5,energy gap,eV,4.5
11835,32442,NdNiO3,62,P20045105-5,energy gap,eV,3.7
11836,32443,Ca2B5ClO9,34,P20029189-6,energy gap,eV,5.1
11837,32444,Eu2B5ClO9,34,P20029196-6,energy gap,eV,4.5
11838,32446,Ba2B5BrO9,34,P20029192-6,energy gap,eV,4.5
11839,32447,Sr2B5BrO9,34,P20029193-6,energy gap,eV,5.4
11840,32448,Ca2B5BrO9,34,P20029194-6,energy gap,eV,5.5
11841,32449,Ba2B5ClO9,34,P20029197-6,energy gap,eV,4.4
11842,32451,Tl2SnGe3O9,165,P20029201-6,energy gap,eV,5.2
11843,32452,K2TiGe2.17Si0.83O9,165,P20029200-6,energy gap,eV,4.6
11844,32453,Sr2B5ClO9,34,P20029198-6,energy gap,eV,4.7
11845,32457,Tl2TiGe3O9,176,P20029204-6,energy gap,eV,4.7
11846,32465,La1.67Ga3S7,113,P20029212-6,energy gap,eV,4.6
11847,32466,MgTi[SO4]3,14,P20029213-6,energy gap,eV,5.3
11848,32468,ZnTi[SO4]3,14,P20029218-6,energy gap,eV,5.0
11849,32469,Fe2[SO4]3,14,P20029215-6,energy gap,eV,4.8
11850,32470,TiNi[SO4]3,14,P20029219-6,energy gap,eV,4.6
11851,32471,TiCo[SO4]3,14,P20029220-6,energy gap,eV,5.3
11852,32472,CuSn[SO4]3,14,P20029216-6,energy gap,eV,5.2
11853,32474,ErCoO3,62,P20029226-6,energy gap,eV,3.4
11854,32476,TiFe[SO4]3,14,P20029221-6,energy gap,eV,4.7
11855,32479,TmCoO3,62,P20029225-6,energy gap,eV,4.0
11856,32480,YCoO3,62,P20029227-4,energy gap,eV,4.3
11857,32481,U8MnS17,12,P20029232-6,energy gap,eV,3.4
11858,32484,U2CoS5,15,P20029229-6,energy gap,eV,3.8
11859,32485,U8CoS17,12,P20029230-6,energy gap,eV,3.4
11860,32486,U8FeS17,12,P20029231-6,energy gap,eV,3.3
11861,32487,U8VS17,12,P20029234-6,energy gap,eV,4.2
11862,32488,U8CrS17,12,P20029233-6,energy gap,eV,3.4
11863,32489,U8TiS17,12,P20029235-6,energy gap,eV,3.8
11864,32490,Lu2SO2,164,P20029236-6,energy gap,eV,4.6
11865,32493,LaPrSO2,164,P20029239-6,energy gap,eV,4.5
11866,32494,La1.08Eu0.92SO2,164,P20029240-6,energy gap,eV,4.2
11867,32495,LaSeF,129,P20029241-6,energy gap,eV,5.0
11868,32496,GdSeF,129,P20029242-6,energy gap,eV,6.0
11869,32497,SmSeF,129,P20029243-6,energy gap,eV,6.1
11870,32499,Ce2SeF4,166,P20029247-6,energy gap,eV,3.3
11871,32500,PrSeF,129,P20029245-6,energy gap,eV,6.0
11872,32501,CeSeF,129,P20029246-6,energy gap,eV,6.2
11873,32505,NaYS2,166,P20029249-6,energy gap,eV,4.4
11874,32506,KLuS2,166,P20029250-6,energy gap,eV,4.9
11875,32507,KTmS2,166,P20029251-6,energy gap,eV,4.9
11876,32514,Na2MgInF7,62,P20029258-6,energy gap,eV,4.5
11877,32515,Na2MgGaF7,44,P20029257-6,energy gap,eV,6.0
11878,32516,Na2MgCrF7,44,P20029261-6,energy gap,eV,5.9
11879,32517,Na2MgVF7,44,P20029260-6,energy gap,eV,5.7
11880,32518,Na2MgScF7,44,P20029259-6,energy gap,eV,5.8
11881,32519,YbSF,194,P20029266-6,energy gap,eV,5.1
11882,32520,LaSI,61,P20029263-6,energy gap,eV,4.5
11883,32521,CeSI,61,P20029264-6,energy gap,eV,4.6
11884,32522,Na2MgFeF7,44,P20029262-6,energy gap,eV,6.5
11885,32523,LuSF,194,P20029265-6,energy gap,eV,4.6
11886,32524,ErSF,194,P20029267-6,energy gap,eV,4.5
11887,32525,HoSF,194,P20029268-6,energy gap,eV,5.0
11888,32526,YSF,129,P20029273-6,energy gap,eV,5.4
11889,32527,ErSF,129,P20029270-6,energy gap,eV,5.6
11890,32528,HoSF,129,P20029271-6,energy gap,eV,5.4
11891,32529,LuSI,174,P20029274-6,energy gap,eV,4.8
11892,32530,YSF,194,P20029269-6,energy gap,eV,4.2
11893,32531,YbSI,174,P20029275-6,energy gap,eV,5.0
11894,32532,DySF,129,P20029272-6,energy gap,eV,6.1
11895,32533,ErSI,174,P20029276-6,energy gap,eV,5.3
11896,32534,CeSF,129,P20029283-6,energy gap,eV,5.2
11897,32535,SmSF,129,P20029280-6,energy gap,eV,5.5
11898,32536,NdSF,129,P20029281-6,energy gap,eV,5.5
11899,32537,DySI,59,P20029277-6,energy gap,eV,5.3
11900,32539,GdSF,129,P20029279-6,energy gap,eV,5.7
11901,32540,PrSF,129,P20029282-6,energy gap,eV,5.9
11902,32541,LaSF,129,P20029284-6,energy gap,eV,5.4
11903,32543,PrSBr,61,P20029288-6,energy gap,eV,5.3
11904,32544,GdSI,174,P20029286-6,energy gap,eV,5.1
11905,32550,YSI,174,P20029285-6,energy gap,eV,5.5
11906,32552,YbSBr,59,P20029291-6,energy gap,eV,5.0
11907,32553,Pr10Se14O,142,P20029297-6,energy gap,eV,4.0
11908,32554,ErSBr,59,P20029292-6,energy gap,eV,5.2
11909,32555,HoSBr,59,P20029293-6,energy gap,eV,5.2
11910,32557,YSBr,59,P20029295-6,energy gap,eV,5.8
11911,32558,La10S14O,142,P20029296-6,energy gap,eV,3.8
11912,32559,Ce10Se14O,142,P20029298-6,energy gap,eV,4.0
11913,32560,Nd10S14O,142,P20029300-6,energy gap,eV,4.3
11914,32561,La10Se14O,142,P20029299-6,energy gap,eV,3.8
11915,32562,Pr10S14O,142,P20029301-6,energy gap,eV,4.4
11916,32563,Ce10S14O,142,P20029302-6,energy gap,eV,4.3
11917,32569,NaNiO2,166,P20029308-6,energy gap,eV,4.0
11918,32570,Li0.5ZnMn1.5O4,227,P20029305-6,energy gap,eV,3.7
11919,32571,Mg0.5Cu0.5Mn2O4,227,P20029304-6,energy gap,eV,4.0
11920,32573,FeO0.71F1.29,136,P20029309-5,energy gap,eV,5.0
11921,32574,Li2MgGeO4,31,P20029310-6,energy gap,eV,4.0
11922,32575,Li2CdSiO4,31,P20029311-6,energy gap,eV,4.4
11923,32576,Li2FeSiO4,31,P20029312-6,energy gap,eV,3.8
11924,32577,Li2ZnSiO4,31,P20029313-6,energy gap,eV,3.9
11925,32578,Li2Co[SiO4],31,P20029314-6,energy gap,eV,3.8
11926,32579,Li2CdGeO4,31,P20029315-6,energy gap,eV,4.2
11927,32582,Li2MnGeO4,31,P20029317-6,energy gap,eV,4.6
11928,32583,Li2Co[GeO4],62,P20029318-6,energy gap,eV,3.4
11929,32587,CuNdSe2,14,P20029325-6,energy gap,eV,4.0
11930,32589,CuTbS2,14,P20029327-6,energy gap,eV,4.0
11931,32592,La5Mo3O16,222,P20003950-6,energy gap,eV,4.5
11932,32599,[NH4]2BeCu[SO4]F4[H2O]6,14,P20029334-6,energy gap,eV,6.0
11933,32600,RuCl3[NH3]5,62,P20029335-6,energy gap,eV,5.1
11934,32603,K2LiVF6,225,P20029340-6,energy gap,eV,5.7
11935,32604,Rb1.5K1.5VF6,225,P20029341-6,energy gap,eV,3.7
11936,32605,CaV0.67W0.33O3,62,P20029338-6,energy gap,eV,3.5
11937,32606,CaTa0.5V0.5O3,62,P20029339-6,energy gap,eV,2.8
11938,32607,K2NaVF6,225,P20029346-6,energy gap,eV,7.0
11939,32610,Cs1.5Rb1.5VF6,225,P20029344-6,energy gap,eV,5.4
11940,32612,NpV4O12,88,P20029347-6,energy gap,eV,4.2
11941,32613,Ba2CrF6,64,P20029349-6,energy gap,eV,6.4
11942,32614,Ba5Cr3F18,88,P20029348-6,energy gap,eV,6.1
11943,32616,CeO1.68F0.22,225,P20029350-6,energy gap,eV,3.4
11944,32627,W3In0.63O9,193,P20029360-6,energy gap,eV,3.8
11945,32628,Ba2SiS4,62,P20029354-6,energy gap,eV,3.8
11946,32630,Sr0.24W3O9,193,P20029358-6,energy gap,eV,3.9
11947,32632,CuSeS,205,P20029362-6,energy gap,eV,4.5
11948,32633,CuTeSe,205,P20029363-6,energy gap,eV,5.0
11949,32634,FeSe2,205,P20029364-6,energy gap,eV,4.4
11950,32636,FeTe2,205,P20029365-6,energy gap,eV,5.4
11951,32637,Na0.6ReO3,221,P20029369-5,energy gap,eV,4.3
11952,32639,CoTe2,205,P20029366-6,energy gap,eV,5.2
11953,32641,K0.6ReO3,221,P20029370-5,energy gap,eV,4.0
11954,32643,TbFeO3,62,P20029377-5,energy gap,eV,3.3
11955,32644,TlInO3,167,P20029376-6,energy gap,eV,5.0
11956,32645,Tl2O3,167,P20029372-6,energy gap,eV,4.9
11957,32648,ScInO3,167,P20029375-6,energy gap,eV,4.0
11958,32649,SrCrO3,221,P20029378-5,energy gap,eV,4.4
11959,32652,ErCrO3,62,P20029381-6,energy gap,eV,3.3
11960,32653,Fe2[TeO6],136,P20029382-6,energy gap,eV,4.7
11961,32654,Cr2[TeO6],136,P20029383-6,energy gap,eV,4.4
11962,32656,BaFeF4,36,P20029385-5,energy gap,eV,5.5
11963,32658,Ag0.5In0.5Te,63,P20029387-6,energy gap,eV,4.0
11964,32660,AgInS2,166,P20029389-6,energy gap,eV,4.7
11965,32662,CdCrInS4,227,P20029391-6,energy gap,eV,4.1
11966,32665,MnSnO3,148,P20029394-6,energy gap,eV,4.3
11967,32669,CsNiCl3,194,P20029396-5,energy gap,eV,5.6
11968,32670,YP0.4S0.6,225,P20029399-6,energy gap,eV,4.4
11969,32671,YAs0.25Se0.75,225,P20029400-6,energy gap,eV,4.1
11970,32683,Na2Co[SO4]2[H2O]4,14,P20029413-6,energy gap,eV,4.7
11971,32686,H3Fe[CN]6,162,P20029408-6,energy gap,eV,3.6
11972,32695,Na3Li3Rh2F12,230,P20029421-6,energy gap,eV,5.9
11973,32696,Na3Li3Sc2F12,230,P20029419-6,energy gap,eV,7.4
11974,32697,Na3Li3In2F12,230,P20029420-4,energy gap,eV,6.1
11975,32698,Nd2WO6,136,P20029422-6,energy gap,eV,4.8
11976,32699,Sc2[SO4]3,148,P20029424-6,energy gap,eV,4.8
11977,32700,Ce2WO6,136,P20029423-6,energy gap,eV,4.9
11978,32702,Sr0.5Th0.5[VO4],141,P20029426-6,energy gap,eV,4.2
11979,32705,Li0.33Th0.67[VO4],141,P20029425-6,energy gap,eV,3.7
11980,32708,Ca0.5Th0.5[VO4],141,P20029427-6,energy gap,eV,3.7
11981,32709,CaCrSn[PO4]3,167,P20029430-6,energy gap,eV,4.2
11982,32710,SrTiCr[PO4]3,167,P20029429-6,energy gap,eV,4.8
11983,32711,CaTiFe[PO4]3,167,P20029432-6,energy gap,eV,4.2
11984,32712,CaTiGa[PO4]3,167,P20029431-6,energy gap,eV,4.5
11985,32714,Na0.33Th0.67[VO4],141,P20029428-6,energy gap,eV,3.8
11986,32715,K3[MoO4][ReO4],12,P20029435-6,energy gap,eV,4.7
11987,32716,Rb3[MoO4][ReO4],12,P20029436-6,energy gap,eV,4.6
11988,32717,SrTiFe[PO4]3,167,P20029434-6,energy gap,eV,3.9
11989,32718,Cs3[WO4][ReO4],12,P20029440-6,energy gap,eV,4.7
11990,32719,Cs3[MoO4][ReO4],12,P20029437-6,energy gap,eV,4.4
11991,32720,K3[WO4][ReO4],12,P20029438-6,energy gap,eV,4.7
11992,32721,Rb3[WO4][ReO4],12,P20029439-6,energy gap,eV,4.7
11993,32722,Ho2CrS4,29,P20029441-6,energy gap,eV,4.3
11994,32724,Rb2CuF6,225,P20029443-6,energy gap,eV,5.7
11995,32725,Cs2NiF6,225,P20029444-6,energy gap,eV,5.8
11996,32726,Rb2NiF6,225,P20029445-6,energy gap,eV,4.8
11997,32727,Ba2Cu0.67LaNb4.33O15,100,P20029449-6,energy gap,eV,4.7
11998,32728,Cs2CuF6,139,P20029442-6,energy gap,eV,4.7
11999,32730,NdEuSiNO3,62,P20029448-6,energy gap,eV,4.9
12000,32731,Ba2Zn0.67LaNb4.33O15,100,P20029452-6,energy gap,eV,4.9
12001,32732,Ba2.5La0.5Nb4.5Ni0.5O15,100,P20029450-6,energy gap,eV,4.2
12002,32733,Ba2Mg0.67LaNb4.33O15,100,P20029451-6,energy gap,eV,4.5
12003,32737,La2Si3N4O3,113,P20029457-6,energy gap,eV,4.7
12004,32738,Sr1.3Nd0.7CoO4,139,P20029456-5,energy gap,eV,4.3
12005,32739,Er2Si3N4O3,113,P20029459-6,energy gap,eV,3.7
12006,32740,Ho2Si3N4O3,113,P20029460-6,energy gap,eV,3.9
12007,32742,Dy2Si3N4O3,113,P20029461-6,energy gap,eV,4.0
12008,32744,Gd2Si3N4O3,113,P20029462-6,energy gap,eV,4.1
12009,32745,Sm2Si3N4O3,113,P20029463-6,energy gap,eV,4.1
12010,32746,Nd4Si2N2O7,14,P20029465-6,energy gap,eV,4.1
12011,32754,CsBaFe2[PO4]3,198,P20029468-6,energy gap,eV,4.3
12012,32755,RbBaFe2[PO4]3,198,P20029469-6,energy gap,eV,4.3
12013,32756,RbSrCr2[PO4]3,198,P20029467-6,energy gap,eV,4.2
12014,32757,CsBaCr2[PO4]3,198,P20029475-6,energy gap,eV,4.2
12015,32758,KSrFe2[PO4]3,198,P20029473-6,energy gap,eV,4.4
12016,32759,KBaFe2[PO4]3,198,P20029470-6,energy gap,eV,4.5
12017,32760,SrTlFe2[PO4]3,198,P20029471-6,energy gap,eV,4.5
12018,32761,RbSrFe2[PO4]3,198,P20029472-6,energy gap,eV,4.3
12019,32762,SrTlCr2[PO4]3,198,P20029477-6,energy gap,eV,4.2
12020,32763,BaTlFe2[PO4]3,198,P20029478-6,energy gap,eV,4.2
12021,32764,BaTlCr2[PO4]3,198,P20029474-6,energy gap,eV,4.4
12022,32765,RbBaCr2[PO4]3,198,P20029476-6,energy gap,eV,4.2
12023,32766,TlCeF5,14,P20029481-6,energy gap,eV,6.8
12024,32767,KAl[CrO4]2[H2O]2,12,P20029480-6,energy gap,eV,4.4
12025,32769,K2PbP4O12,61,P20029483-6,energy gap,eV,4.3
12026,32770,LiBeSb,186,P20029482-6,energy gap,eV,4.7
12027,32772,K3AgO2,19,P20029484-6,energy gap,eV,3.4
12028,32773,KAg[CO3],73,P20029488-6,energy gap,eV,4.2
12029,32778,Mn2SnS4,65,P20029489-6,energy gap,eV,4.4
12030,32781,Na2Sb2[C2O4]F6,9,P20029491-6,energy gap,eV,5.8
12031,32783,NaCd4[PO4]3,62,P20029492-6,energy gap,eV,4.9
12032,32785,K2SnF6[H2O],70,P20029493-6,energy gap,eV,6.1
12033,32786,Cu2Th4[MoO4]9,220,P20029495-6,energy gap,eV,4.4
12034,32788,Tl2.5Sb0.5O3,62,P20029494-6,energy gap,eV,4.7
12035,32796,YSeF,166,P20029502-6,energy gap,eV,4.8
12036,32797,LuSeF,166,P20029503-6,energy gap,eV,2.7
12037,32799,YbSeF,166,P20029504-6,energy gap,eV,4.3
12038,32800,LuSeF,194,P20029499-6,energy gap,eV,5.8
12039,32803,La4Ga1.72S4.58O4,123,P20029511-6,energy gap,eV,4.0
12040,32804,LaGaS2O,57,P20029512-6,energy gap,eV,4.2
12041,32806,Na0.09Li0.91TaO3,161,P20029514-6,energy gap,eV,3.9
12042,32809,KSb3O5,14,P20029517-6,energy gap,eV,4.8
12043,32810,NaSb5O8,2,P20029516-6,energy gap,eV,5.1
12044,32813,RbTeF5,62,P20029518-6,energy gap,eV,6.6
12045,32817,Nb2Mn4Si5,72,P20029520-6,energy gap,eV,3.8
12046,32820,RbSbBrF3,2,P20029523-6,energy gap,eV,6.4
12047,32826,Ag0.25NbO2.25F0.75,221,P20029525-6,energy gap,eV,4.7
12048,32827,Ag0.88NbO2.88F0.12,62,P20029527-6,energy gap,eV,3.9
12049,32829,Rb2CoF6,225,P20029529-6,energy gap,eV,5.8
12050,32830,Cs2CoF6,225,P20029530-6,energy gap,eV,5.8
12051,32832,Tl2[SeO3]3,14,P20029531-6,energy gap,eV,5.0
12052,32835,Ta4Cr7Si8,62,P20029533-6,energy gap,eV,3.4
12053,32836,ZrFe0.16Se1.94,164,P20029537-6,energy gap,eV,3.6
12054,32837,ZrNi0.5Se2,164,P20029535-6,energy gap,eV,3.9
12055,32840,CeBiS2O,129,P20029538-6,energy gap,eV,4.1
12056,32842,Hg2Ni2SF6,227,P20029541-6,energy gap,eV,5.6
12057,32846,Hg2Ni2OF6,227,P20029542-6,energy gap,eV,5.0
12058,32852,Cs2Cu3P8O24,2,P20029543-6,energy gap,eV,4.8
12059,32853,Ca4La[VO4]3O,176,P20029547-6,energy gap,eV,5.1
12060,32854,Ca5[VO4]3F,176,P20029548-6,energy gap,eV,4.4
12061,32857,Ca4.5La0.5[VO4]3O0.5F0.5,176,P20029549-6,energy gap,eV,4.7
12062,32860,Na0.5Mg0.5Ti1.5O3.5F0.5,62,P20029552-6,energy gap,eV,4.4
12063,32861,KNa2P3O9,2,P20029553-6,energy gap,eV,4.0
12064,32864,EuTa0.67Mn0.33O3,221,P20029555-6,energy gap,eV,4.0
12065,32865,Eu2TaAlO6,225,P20029556-6,energy gap,eV,2.8
12066,32868,K6MgO4,186,P20029558-6,energy gap,eV,4.7
12067,32869,K3[UO2]2F7[H2O]2,11,P20029560-6,energy gap,eV,5.9
12068,32870,K3AlO3,12,P20029559-6,energy gap,eV,4.2
12069,32874,WAlO4,12,P20029564-6,energy gap,eV,4.2
12070,32880,Ba2UMnO6,225,P20029566-6,energy gap,eV,4.2
12071,32884,Na4U[MoO4]4,88,P20029563-6,energy gap,eV,4.7
12072,32887,Eu5Nb4O15,164,P20029569-6,energy gap,eV,4.2
12073,32890,CsFe[CrO4]2,62,P20029572-6,energy gap,eV,3.7
12074,32891,EuClH,129,P20029573-6,energy gap,eV,5.5
12075,32892,NaPbP3O9,19,P20029576-6,energy gap,eV,5.1
12076,32898,HfCo0.33S2,164,P20029580-6,energy gap,eV,3.9
12077,32900,Fe2Te3O9,62,P20029578-6,energy gap,eV,5.0
12078,32902,KSnF3,2,P20029582-6,energy gap,eV,5.5
12079,32907,Li2CeP2,164,P20029587-6,energy gap,eV,4.6
12080,32908,Li2PrP2,164,P20029588-6,energy gap,eV,4.6
12081,32911,K2NaCuF6,225,P20029590-6,energy gap,eV,5.4
12082,32912,Rb2NaCuF6,225,P20029591-6,energy gap,eV,6.7
12083,32916,SrC6,194,P20029592-5,energy gap,eV,4.4
12084,32921,Sr[PO3F][H2O],14,P20029603-6,energy gap,eV,4.9
12085,32922,Ca2LaFe2GaO8,26,P20029600-6,energy gap,eV,4.3
12086,32923,Ca2.5La0.5Ti0.5Fe2.5O8,26,P20029601-6,energy gap,eV,4.8
12087,32924,Ca[PHO3][H2O],14,P20029602-6,energy gap,eV,5.4
12088,32925,Ca3TiFe2O8,26,P20029599-6,energy gap,eV,4.6
12089,32928,KMo6S8,148,P20029608-6,energy gap,eV,4.1
12090,32930,In2[Si2O7],14,P20029607-6,energy gap,eV,5.2
12091,32932,Sr[PHO3][H2O],14,P20029604-6,energy gap,eV,4.4
12092,32936,H3Rb3[AsO4]2Te[OH]6,14,P20029612-6,energy gap,eV,4.7
12093,32940,Sr[PO3F],14,P20029606-6,energy gap,eV,4.4
12094,32941,ScU8S17,12,P20029613-6,energy gap,eV,3.9
12095,32942,H2[NH4]0.67Tl0.33[PO4],122,P20029618-6,energy gap,eV,5.2
12096,32943,H2Rb2[P2O7][H2O]0.5,62,P20029614-6,energy gap,eV,3.8
12097,32944,H3Cs[P2O7][H2O],2,P20029615-6,energy gap,eV,5.0
12098,32945,H2Cs2[P2O7],15,P20029616-6,energy gap,eV,5.2
12099,32948,Tl2[SO3],62,P20024354-6,energy gap,eV,5.0
