,phase,predicted bg eV,true bg eV
10441,Dy Li Se,4.527973359357233,3.6
34631,Co Mn Nd O Pb,4.06742120315482,3.9
27001,Cu Fe S Zn,4.527973359357233,4.6
24164,C Co H N O Zn,4.527973359357233,4.6
5868,K Sr Te,4.793725469866164,4.4
35518,B Ga Mg Rh,4.058988365115656,3.3
11555,Ba Er O Ta,4.527973359357233,3.8
15492,Cs O P Th,4.537413771313109,4.4
40501,Cs Fe Na O,4.074150197977342,3.3
37937,Al Dy Rh,4.058988365115656,3.0
39417,Br Cs Na Tb,5.721555323802529,6.6
11965,Ba Er Mo O,4.074150197977342,4.4
9565,Co Ge Ho,4.058988365115656,3.9
31553,H I O Th V,5.106722274211433,4.8
39756,Cd F H N,5.282379287812984,4.6
24934,Be C H O,4.534461084299648,4.9
3997,B Ce Cr,4.058988365115656,3.5
7109,Ga Ir Tb,4.058988365115656,3.1
22654,I Pm,5.931820871940605,4.4
37607,C Fe O Te W,4.527973359357233,5.2
8930,Al Cs Ge O,4.0831358795283625,4.6
15116,B Cs Li O P,4.0831358795283625,4.8
12754,Gd O Sb,4.537413771313109,5.0
20568,Ca Ce Ge,4.065717359938177,4.4
17763,Cr O Ti W Zr,4.505358694942094,4.8
23130,Eu F Na Rb,5.631772923061696,5.1
37563,Ca Fe Li N,4.065717359938177,4.7
17876,Cl H Mo Na O P Rb S,5.087597028149878,5.4
25433,Mo O P Rb W,4.537413771313109,4.2
5547,Cr Mn Ni Si,4.058988365115656,3.8
33333,As Ca Ir,4.065746835805662,3.9
18069,Ag Ce H O W,4.527973359357233,4.4
20551,C F O S,5.282379287812984,5.7
14185,F Sb Sn,5.711702341939888,5.7
28664,Ba Ca Cu O Tl Y,4.07768135949637,3.0
36479,C Cr H N Ni O Ru,4.527973359357233,4.2
25615,As Nd O Ru,4.527973359357233,3.7
17572,Eu Li Mg Sn,4.065717359938177,5.2
27854,C Co Cs H N O Re S,4.06742120315482,3.8
21468,Ba La Mn Nb O Ti,4.069248521457205,3.4
27056,As Bi Ni O,4.495258745139814,5.3
26133,F Na Sr V,5.720893000429499,6.1
1284,F La Sr,5.879095379788978,4.6
19230,B H K Li Mg,4.534229944411796,4.7
10658,P Sn Sr,4.062215674286633,4.4
27570,Cr Fe Gd La O,4.058988365115656,4.2
14772,Co Ni Sm Tb,4.058988365115656,3.4
37704,Ca Cu Ga La O Sr,4.065717359938177,5.4
28676,As I K O,5.293141110529586,4.9
36298,Ba O Sr Ta Ti,4.5120876897646145,4.8
9482,B Ho Ru,4.058988365115656,3.5
26161,La Nb S,4.527973359357233,4.3
8877,H O Ti W,4.5120876897646145,4.9
31505,C Cu K O Sr,4.06742120315482,4.5
9857,Cu Nb S Ta,4.527973359357233,4.5
15928,C Cl Er H O,4.982053861897558,6.0
35435,Li O Si Ti,4.5114881327380765,4.7
14122,Ge H Na O Zr,4.536834847924909,5.2
9444,Na Pt Se,4.527973359357233,4.4
18340,Cu O P Rb,4.537413771313109,4.8
32694,Ag H N O,4.55660117805618,4.9
18594,H O Sr Te,4.515876896986947,4.8
27500,Ce Co Eu O,4.074150197977342,4.3
14457,Ag Al S,4.527973359357233,4.0
15751,Cs F Na Ti,5.578612463882035,6.2
24284,As Bi Cu H Na O,4.495258745139814,4.7
7346,Fe Ga O Y,4.527973359357233,4.3
13233,Cl Cr Li,5.8312915039139375,6.3
38881,Cd Cu In Se Te,4.070648512325796,5.0
17234,Cs Se Ti,4.496373013391072,5.1
10326,C Mo Tb,4.058988365115656,3.9
25032,O Pb Sb Ti,4.528838195428608,4.5
3222,Au Lu,4.058988365115656,3.2
6189,Fe K Mo O,4.0831358795283625,4.6
21235,La Mg Si,4.065717359938177,4.8
29517,C H Nd O P,4.536834847924909,4.4
28216,Ca Dy Mn Na O,4.065717359938177,4.6
30728,B O Sc Yb,4.505358694942094,4.1
30585,Ba O Si Y,4.51498981838962,5.1
26103,C Cu H Li N O P,4.527973359357233,4.5
35664,Sb Sm U,4.062215674286633,4.0
8450,Fe Ga Gd O Y,4.06742120315482,4.2
36485,Co N O Tl,4.534461084299648,5.2
11381,Ba La Na O Ti,4.07768135949637,4.6
15053,B Co Ga O,4.06742120315482,3.7
38463,Ba Cd Mg Nb O,4.065717359938177,4.9
38271,Al Mo Se,4.527973359357233,3.6
11517,O Rb Tb V,4.081432036311719,4.6
25498,Bi Fe Mn O Sr,4.074150197977342,4.0
7860,F H O Zn,5.64936889919366,5.4
30828,Co Eu O Si,4.527973359357233,5.1
35368,Ag Ga Lu,4.058988365115656,3.5
32211,Ge K Na,4.077930350660176,4.5
27829,Ba Ca Cu Hg O Pb Y,4.069248521457205,3.5
13934,C Cu Na,4.058988365115656,4.0
5515,Ag Cr S Sn,4.527973359357233,3.9
32089,C F H Hg N,5.149079798515505,5.3
11306,H O S Sb,4.537413771313109,5.4
35108,F In O W,5.325545108644824,4.5
3949,Al Ni Pr,4.058988365115656,4.3
15959,Ba Ce In S,4.074150197977342,4.6
26681,F K Na Th,5.725833842739782,5.5
15003,Ge Ta V,4.062215674286633,3.7
15616,O S Sb,4.537413771313109,5.5
34116,Ba Mn S Sn,4.527973359357233,4.3
4161,Al B Er,4.058988365115656,3.4
9208,I U,5.920006941720089,5.9
36342,Co Si Th U,4.058988365115656,3.1
33924,Cs F Mo O Rb,5.010730723737131,5.6
36532,O Sb Sn V,4.065717359938177,4.4
11399,Cu Dy Fe O Ti,4.06742120315482,4.1
30022,H Np O Se,4.527973359357233,4.8
23977,Br H N Rh,5.650255531996027,5.4
40093,Mg O Si Sr,4.5114881327380765,4.9
17433,Ba F Mg Mn,5.566245780716704,5.7
11991,Cr Eu Ge Na O,4.062519526634685,4.5
13666,Fe Pb S Sb,4.534461084299648,5.0
21896,Au Bi Pb S Sb,4.537413771313109,5.3
29847,C H N O Tm W,4.55660117805618,4.4
26646,Ca Ge Mg O Zr,4.074150197977342,4.6
13328,B Ba Cu O Tb,4.0831358795283625,3.8
34006,I K Pt,5.953549217198207,5.1
39117,Al Cu In Mg O,4.058988365115656,4.3
38170,B H Mn Na Ni O P,4.534229944411796,4.2
21488,Fe Mn Na Ni O P,4.058988365115656,5.1
25411,Ga K P Rb,4.522350470486193,3.9
13856,C Eu H K N O Ru,4.527973359357233,4.5
34487,C Ge Nd,4.058988365115656,4.2
32143,As H O Rb Se,4.559706726132433,3.7
21420,As Ce Ni O,4.070648512325796,4.4
30844,Co Ga Nd S,4.06742120315482,3.9
32030,As Cu Mg Na O Zn,4.062215674286633,3.1
28159,In Mg Nb O Pb,4.070648512325796,4.8
27449,Hg Mo O Te,4.527973359357233,5.3
32047,Co O Rb,4.505358694942094,5.1
30317,H La Nb O Rb S,4.07768135949637,3.4
15120,H Na O Sb W Zn,4.527973359357233,4.9
11227,Fe Ho Mo O,4.06742120315482,4.0
26242,Cl I N S,5.3560026774491325,5.6
10025,As Na,4.065746835805662,5.1
3415,La Se,4.496373013391072,5.6
25466,Ba Cu O Sr Tl,4.527973359357233,4.1
29997,Cs H O Pu S,4.559706726132433,4.8
13733,Ge N Sr,4.077930350660176,4.8
30239,Cu H Na O Pd Se,4.536834847924909,4.0
22593,Ni O Tm Y,4.505358694942094,3.2
5203,Ge Rh Tb,4.062215674286633,3.6
20670,Li Rb Sn,4.077930350660176,4.9
17940,Sb Ti Yb,4.062215674286633,3.6
15016,Cu Fe Mn O Y,4.06742120315482,3.5
33086,Li Rb Se Zn,4.527973359357233,4.0
18815,Li Mn N O,4.526994101303023,4.2
4939,B Ca In O,4.070952364673849,4.1
6844,Li P Pr,4.062215674286633,4.6
33075,As Cu Eu Sb,4.062215674286633,3.4
9801,Ga Pd Te,4.793725469866164,3.6
39386,Ba Cl O Pr,5.582554356358536,5.6
37304,Be Dy F H N,5.126823544396498,6.4
31077,Ge Na S Sm,4.527973359357233,4.4
15208,Cd Pt Sr,4.062215674286633,3.5
1112,Ca Cl H,5.657538890569516,5.8
16984,Al B O Sm Sr,4.527973359357233,4.8
22658,Ba H O P Tl,4.562311629645546,5.4
39159,Cu Na Nb O Ta,4.070952364673849,3.4
29992,Ca Cl F O S Si,5.048252988773046,4.8
16319,Ba Cu H O,4.527973359357233,3.2
38860,Ca Nb Nd O Zr,4.074150197977342,4.6
33751,Er P S,4.534461084299648,3.9
8444,Fe O Sc Tb,4.505358694942094,4.0
8400,Ca Ga O Ta Ti,4.527973359357233,4.5
30314,C F Li P,5.287562996884374,4.8
15376,As Mn Nd O,4.070648512325796,3.9
22594,Ni O Y Yb,4.505358694942094,3.6
8280,Fe O P Ti Tl,4.537413771313109,4.7
17774,Ni O Sb Ti Zr,4.537413771313109,4.2
21773,Al Cu Lu O Sr,4.06742120315482,3.8
13963,C H Hg N O Zn,4.539736976549915,4.1
38570,Cu Ga O Pb Sr Y,4.527973359357233,3.6
21167,Ag Bi Cu S,4.492031435968837,5.4
4901,Mg Na O V,4.527973359357233,4.2
26712,Ba Mg O Si Y,4.527973359357233,5.2
21416,Eu Os Si,4.065717359938177,3.9
35025,F Sr Tm Y,5.485175183276291,4.5
27400,Ba F Fe Se,5.282379287812984,5.5
435,Mg Sn,4.062215674286633,4.6
25123,Cl Cs O U,5.597402486794202,5.4
39169,La Pb Rh,4.065717359938177,4.2
9170,Ag F,5.683764199993599,5.8
13784,F Fe O Sr,5.210465679282026,5.7
26254,K Se Zr,4.496373013391072,4.5
1861,Ir O,4.505358694942094,4.1
12261,K O P Ta,4.537413771313109,4.5
3114,Cu Ga Y,4.058988365115656,4.1
20820,H Mo N Na O V,4.522350470486193,3.3
37054,Ba Bi Nb O Ti Zn,4.498760430791357,4.1
15488,Li O P Th,4.537413771313109,4.1
17034,B La O Sc Sr Zn,4.527973359357233,4.5
26034,Cr F Mn Na,5.602198165048485,6.1
24755,Ba O Pr Pt,4.5120876897646145,4.0
6819,Ag F Nb O,5.282379287812984,4.7
28717,Cu Mn Na Te,4.06742120315482,4.0
13130,Fe Li O P Zr,4.527973359357233,5.1
1632,Cl K Ni,5.962309650544633,4.0
38567,Al Be Ca Fe H Mg O P,4.058988365115656,4.9
18664,B Na O Sc,4.527973359357233,4.7
19592,Al Cl Sb Se,5.282379287812984,5.6
1673,Cu F Na,5.6699007231517395,6.1
7457,Ge Mn Nd Sm,4.062215674286633,3.5
2190,Cd Mg,4.062215674286633,4.7
13139,Nd O S Ti,4.537413771313109,4.7
31930,Al O Rb Ta,4.505358694942094,4.0
25445,In Ni Pu,4.062215674286633,3.3
10249,Er Ge Ni,4.062215674286633,3.7
16258,Ba Li Si,4.065717359938177,4.6
21967,Al Ba Fe H O Si,4.0831358795283625,3.4
11071,Cr Mn Se U,4.527973359357233,4.3
32544,O Pb Rb,4.065717359938177,4.7
20965,Cs Cu O,4.527973359357233,4.3
16893,K Nb O Pr,4.527973359357233,4.8
19131,Bi Ca Cu Fe O Pb Sr,4.069248521457205,4.7
5858,Na Nb P Sr,4.522350470486193,3.8
22960,Gd O Ta Y,4.508586004113071,3.7
17703,Br Hg O,5.427122723264747,5.2
29315,Ho Ni O Sr,4.527973359357233,4.1
38427,In K O Si,4.527973359357233,5.1
39340,Ca Hg Pb,4.522350470486193,4.3
11127,Cs O Sb W,4.537413771313109,3.4
27054,H K N O Pr,4.526994101303023,4.1
24844,Ba Ca Lu Ni O,4.069248521457205,4.1
35073,C Fe H N Na O,4.527973359357233,4.0
3775,Na Sb Te,4.800213194808578,4.8
13090,Nd O Se V,4.537413771313109,4.2
7472,As P Yb,4.062215674286633,3.7
5645,Cs Ga S,4.527973359357233,5.2
18358,Co H O W Zn,4.552208182408266,4.4
31374,Be F H N O Rb S,5.057574166387704,5.1
9864,La Li P,4.522350470486193,4.3
13883,Cs F H O Y,5.113940357052736,6.3
11988,La Li Mn O,4.074150197977342,4.9
22373,Ni Zn Zr,4.058988365115656,3.3
30671,C Xe,5.676367774079508,1.8
4674,Ba Mg O Ti,4.527973359357233,4.7
34928,Er S Sr,4.492871327739529,5.1
2138,F Na Yb,5.9482553412809525,3.1
33790,F N O,5.583363815278701,5.5
10802,Cu Hf Pb,4.522350470486193,3.4
23898,I La O Ti,5.203475331682064,5.4
25716,Ba K O U,4.527973359357233,4.9
26344,Ba O S Zn,4.537413771313109,4.7
31529,As Eu F Zn,5.126823544396498,5.4
34785,F Li Mg O P,4.824721941398212,4.9
8506,F Na O Y,5.589969997524582,4.7
23150,La Mn O Y,4.527973359357233,3.5
28234,Ba Bi Er O,4.498760430791357,5.3
21714,Ba Gd O Pd,4.527973359357233,5.2
8151,Cr Mo O Rb,4.527973359357233,3.9
32024,N S Tl,4.499275142016078,5.2
39122,Ce O V Y,4.5120876897646145,4.6
17478,Ba Cu Hg O Sr Y,4.074150197977342,3.9
8469,Bi Mn O V,4.527973359357233,5.3
5406,Er Rh Si,4.062215674286633,3.2
22097,Al Pd Pr,4.058988365115656,3.7
38995,Ba Eu N O Si,4.526994101303023,3.9
39699,Bi F O S Yb,5.111260377691972,4.9
5156,Lu P,4.062215674286633,3.8
19097,Bi H O P,4.562311629645546,5.4
12079,Bi Li O W,4.527973359357233,5.3
2733,Cd S Sn,4.495773456364534,3.9
32859,Ca F Lu Na,5.602198165048485,3.1
29985,As Cd Eu,4.062215674286633,4.0
13797,Co F Na O P,4.975291506062292,5.4
2792,F O Sb,5.685761001157241,5.9
26800,F In Li Ni,5.42562265235269,4.2
12362,F Li Tb Y,5.725833842739782,5.0
21568,Ge Lu Mg,4.062215674286633,4.4
8989,Ca Cu La O,4.074150197977342,5.2
1878,Br In Te,5.719298537118924,6.1
12085,Na Nb O Sr W,4.527973359357233,3.3
37714,Ba Fe H Na O P,4.527973359357233,5.2
34350,Bi F Fe O P,4.982053861897558,5.1
4845,I Rb Te,5.945047886023471,6.4
7543,Cl Nb O Rb,5.36481843185294,5.8
33965,Ag C Co O,4.06742120315482,4.4
18508,Cd Hg In Te,4.070648512325796,4.4
24239,Pb Pr S Sn,4.527973359357233,4.3
15680,N O Pd Rb,4.5120876897646145,4.8
25556,Lu Ni Pb,4.522350470486193,4.2
23276,Fe Ni O Sm,4.527973359357233,3.8
15077,C H N Na O,4.553996274543067,5.8
20660,H Np O P Rb,4.527973359357233,4.2
37412,F H O P Sb,5.268621471267633,5.5
31209,Er Ge In Ru,4.062215674286633,3.9
24488,Br H K O Pt S,5.103668512308696,4.6
33114,P S Sr,4.492871327739529,4.7
15106,Al B H O U,4.527973359357233,5.1
30249,Ce Cl Nd O,5.282379287812984,4.7
4931,Si Zn,4.058988365115656,4.3
5217,B Ir Tm,4.058988365115656,3.0
3182,Ga O Y,4.505358694942094,4.8
32967,Bi Cs Ni,4.081432036311719,4.1
10176,Er Ni Sm,4.062215674286633,3.2
20306,Fe Mn O P,4.527973359357233,4.4
39121,La O V Y,4.5120876897646145,4.4
28531,Bi H Na O P,4.536834847924909,5.2
37358,Co H O P Rb,4.562311629645546,4.9
17583,Cl Co H Na O Si W,4.899797795454467,5.1
1111,B Tb W,4.058988365115656,3.3
31357,C Cl F O P Rh,5.075462692812999,5.8
35502,Ca H In O P,4.539736976549915,5.3
7758,Br H O Tb,5.649947719258229,4.1
33818,C Cl H N O Ru,5.039760911006283,5.1
31304,La Mn O Se Zn,4.527973359357233,4.4
843,Fe Sb Zr,4.058988365115656,4.4
19126,Bi Na O W Yb,4.527973359357233,5.1
23826,Ag As Hg O,4.06742120315482,4.2
38488,B Be H Na O P,4.527973359357233,4.5
39631,B Be Li Na O,4.058988365115656,3.6
13842,C Cs N Na Re,4.522350470486193,4.9
25731,Bi Cd O P Si Zr,4.527973359357233,5.1
38682,Ce Nb O S,4.527973359357233,4.2
23555,Cr N O Si Sm,4.534461084299648,5.0
37595,H K Nb O S,4.089864874350884,5.1
1953,Dy Ge Sc,4.062215674286633,4.1
20676,As I S,5.64747985479232,5.0
10601,Ir Os Zr,4.058988365115656,3.6
18194,Eu Ga Ir,4.065717359938177,3.0
4112,B Mn Re,4.058988365115656,2.9
33788,Ca Ce N,4.522350470486193,5.5
23195,Li Mn Ni O Ru,4.070648512325796,3.4
3351,Gd Pd,4.062215674286633,4.0
8220,Cd Mo O Y,4.527973359357233,4.6
3291,Ca Tl,4.065717359938177,4.2
15370,Gd Mn O P,4.527973359357233,3.3
23438,Cu O,4.505358694942094,4.5
24958,Be Ca Fe H O Si Y Yb,4.070952364673849,4.0
4865,B Ba Bi O,4.527973359357233,5.4
2338,Mg O Yb,4.508586004113071,5.1
14696,Bi Nd Rh,4.065717359938177,3.6
23946,C Mn Pr,4.058988365115656,3.6
3700,Ag Mg Sb,4.522350470486193,4.3
11727,Al Mn Pr S,4.06742120315482,4.4
2851,Ag Ho Se,4.527973359357233,4.0
34014,Cs F Pt,5.675996801916329,5.5
18647,Ru Sb Te,4.800213194808578,3.0
29457,Cs Ge H O U,4.534461084299648,4.9
19443,Cl Co O,5.478670822465639,4.6
33753,Au Cl F P,5.287562996884374,6.0
6671,F Mg Na V,5.460646119818291,5.7
5674,Ho Te U,4.5930734732609615,4.6
14137,As Bi H O U,4.537413771313109,5.0
11104,Cr F K O P,4.979669656836141,4.7
36026,H O Rb S Te,4.515876896986947,5.6
34147,Ca Ge P,4.528838195428608,4.4
24223,Al Ca Pb,4.522350470486193,4.0
899,Mn O,4.505358694942094,4.4
39476,Ag O Os,4.505358694942094,3.8
37012,Cr Dy O Y,4.527973359357233,4.0
8080,Ca Lu O Ta,4.527973359357233,4.3
38498,Al Cd Cs O P,4.06742120315482,5.0
32969,Cs Pt Sb,4.522350470486193,3.8
27982,Mn Nd O Pb Sr,4.527973359357233,4.0
10011,B Li N,4.522350470486193,5.2
37766,Cs H Ni O Se,4.536834847924909,4.4
39759,Br H Mo O P Tb,5.135990135941174,5.1
14946,Al Cu Ni U,4.058988365115656,2.9
36722,P Ru Sm,4.062215674286633,4.2
19838,C H Mn N O Re Se,4.536834847924909,4.5
18475,Ca Cd H O P,4.527973359357233,4.3
33215,Au Cs O S,4.527973359357233,4.8
40360,Fe La Mo O Sr,4.070952364673849,3.8
33573,Cl Mo O Te,5.216606471051572,6.0
25811,La Li O Ru,4.527973359357233,3.9
11860,Ce Li N,4.522350470486193,4.1
26306,Cs H O Se Sn,4.562311629645546,4.4
9314,Al Mn Th,4.058988365115656,3.9
19493,As Cr H La,4.527973359357233,4.4
20990,Al Fe Ni Yb,4.058988365115656,3.2
5443,Li Nb Se,4.527973359357233,4.0
2382,Ba Ce F,5.126823544396498,5.2
28115,Cd Cs Hg S,4.08636318869934,4.4
20897,Ga K O P,4.527973359357233,5.0
29417,Ag Bi Fe Pb S Sb,4.488242228746504,4.9
22344,B Mo Yb,4.058988365115656,2.9
17740,Cd Ce Cu O Pb Sm Sr,4.070648512325796,3.6
9907,P Ru Se,4.527973359357233,4.2
38751,Al Ce Co La Nd Ni Pr,4.058988365115656,3.0
11626,Te U Y,4.065717359938177,4.7
19626,O Rb Tc,4.081432036311719,4.7
15769,C Cs N S,4.526994101303023,4.6
40050,C In Li N,4.058988365115656,4.7
3774,Na S Zn,4.496373013391072,4.4
37527,Br Ce O,5.435711019699516,5.0
23162,Ca Cu O Pb Sb Sr Y,4.527973359357233,4.5
30476,Ga H K Rb,4.534229944411796,3.9
9900,Ca Eu Ni,4.069248521457205,3.5
38999,C Co Cr Cs N,4.058988365115656,3.8
21399,Ag As La,4.058988365115656,4.1
26619,Br Cu H N,5.203475331682064,5.3
28182,Bi Fe O Zn,4.527973359357233,3.8
7170,K O Rb Sc V,4.5120876897646145,4.9
31295,Al Au Ir,4.058988365115656,3.0
17634,H N O Pb S,4.534461084299648,5.3
13551,Cr Cs I O U,5.126823544396498,5.0
16114,C Cl N O,5.282379287812984,5.7
31631,Ni O Sr W Zn,4.505358694942094,3.8
3081,Al Tb Tm,4.058988365115656,3.7
5488,B Ir Mg Zn,4.058988365115656,3.3
5034,H Na O P,4.527973359357233,5.3
18104,Cs Eu O P,4.527973359357233,5.4
23170,Bi Cu O Pb Pd,4.527973359357233,4.6
18224,C Ce H N O S,4.527973359357233,4.9
19974,Ge La Te,4.793725469866164,6.7
4739,Ca Cu O Sr,4.527973359357233,4.8
1535,Ca Cl,5.693823235770794,6.2
8221,Cd Mo O Sm,4.527973359357233,4.8
2335,Mg Nd Ni,4.062215674286633,4.8
34167,H Li Mo O,4.074150197977342,3.9
10482,C Ce Y,4.058988365115656,4.7
219,Al Pd,4.058988365115656,3.2
29105,B H Li Na O Si,4.534229944411796,5.0
15619,Br Cs F,5.592862124607973,6.0
7712,Mo Pb S,4.534461084299648,4.4
7779,Cr Li O V,4.527973359357233,5.5
10254,Ca N Pb,4.528838195428608,4.6
7936,Ho Ir O,4.527973359357233,4.7
17484,Br C Cl F O S Sb Te,4.944862006224024,6.0
9652,Cu Fe Se Si,4.527973359357233,3.8
7719,C H O Zn,4.552208182408266,5.3
7442,Fe H Y,4.526731400687629,4.2
13396,Br H K N O V,5.156123311552728,4.2
5727,Cs Ga K Sb,4.065717359938177,5.1
26263,Ru Sm Sn,4.058988365115656,3.9
10805,H N Se W,4.534461084299648,4.4
36219,Ce Fe La O Sr,4.074150197977342,3.7
11442,Ag O Rb,4.505358694942094,4.4
28604,Ca K Na O Ta,4.089864874350884,3.2
38875,Bi O W Y,4.5120876897646145,5.2
19590,Ba Br Fe S,5.282379287812984,5.3
40320,C F H S,5.282379287812984,4.4
10155,Al Ho Pt,4.058988365115656,3.0
359,B Ta,4.058988365115656,3.7
37392,Ag Hg S,4.527973359357233,3.2
3683,Fe La Si,4.062519526634685,3.3
5400,La N Th,4.081432036311719,4.9
24275,As In K Li,4.062215674286633,4.8
9432,Co Rb S,4.527973359357233,4.5
25058,Al Ce Mn Ni,4.058988365115656,3.5
25777,Br Ga La,5.754599436163966,5.4
34199,Fe O Tl,4.5082608235671,4.0
16121,Cu Mg O V,4.527973359357233,4.4
7419,Ag Ce Cu Sb,4.058988365115656,3.5
26434,Cr I O Th,5.582554356358536,6.1
11327,H K N O P S,4.526994101303023,4.6
37922,Cu O Ti Tm,4.505358694942094,3.9
38759,Bi O Sr Ti Zr,4.5120876897646145,4.1
13891,K O P V,4.537413771313109,5.2
1752,In O S,4.537413771313109,5.3
16091,Ba Ge O Sr,4.534461084299648,5.2
30860,Ca Ge Tm,4.065717359938177,3.7
21808,Cu In P S Se,4.526994101303023,4.2
25488,Bi In K,4.065717359938177,4.5
14342,Al Ge Sm,4.058988365115656,4.4
1184,Co Nd Sn,4.058988365115656,4.2
39347,Cl Cs Li Tm,5.721555323802529,5.1
38402,Co Gd Ni O,4.06742120315482,3.9
14120,Be Na O Si,4.527973359357233,4.4
5888,Au Cs S,4.527973359357233,4.3
22500,H Mn Nb O,4.074150197977342,5.0
33155,Br Pr S Si,5.203475331682064,4.1
13468,C Co F O Si,5.126823544396498,5.0
14614,Co O Ru Sr,4.505358694942094,4.1
40325,Cu In Mn Se,4.06742120315482,4.0
25016,Ga O Pb Ta Ti,4.537413771313109,4.8
19780,Cr H K O U,4.536834847924909,5.4
31680,C N P,4.528838195428608,4.5
18002,Bi Nb O Y,4.527973359357233,4.2
2496,Cl Te Tl,5.706521154441848,6.4
1005,Al Na O,4.527973359357233,5.1
39965,Cs Ga Si,4.065717359938177,4.4
23559,Li O Tb,4.508586004113071,4.8
22082,C Cr Si Tb,4.058988365115656,3.8
24788,Ba O P V,4.537413771313109,4.9
1759,K Mo O,4.527973359357233,5.3
18380,C F H N O Y,5.039760911006283,4.8
31043,Ca H O,4.552208182408266,4.7
20785,Al H K Na O S Si,4.534229944411796,4.4
29823,Cl Fe O Sr,5.210465679282026,5.6
2878,B Fe U,4.058988365115656,2.6
33909,O Rb Re S,4.089864874350884,4.4
3582,Co P Ti,4.058988365115656,3.7
37744,Cd Cs Tl,4.077930350660176,4.3
31001,Ba Te U,4.5930734732609615,5.0
10030,Cd Nb,4.062215674286633,3.4
19907,Ga O P Ta,4.537413771313109,5.0
33978,Bi I O Sr,5.5939722565040935,4.9
32209,Al Sb Sr,4.058988365115656,4.2
28894,C Ca Ce Gd H Nd O Sm,4.062519526634685,4.2
29712,Ca Cs Fe O P,4.089864874350884,4.4
17168,Co Li O,4.527973359357233,4.8
21127,Al Ba N O Si,4.526994101303023,4.1
23837,Cu H K O P,4.536834847924909,4.9
7523,Cu Ge Se Sm,4.534461084299648,4.4
17271,Au Br H Na O,5.120702712888002,5.2
34112,Ca O Tm,4.5120876897646145,4.2
22738,Nb O Sc Ta,4.505358694942094,4.8
40194,Li Mn Na Ni O Ti,4.062215674286633,3.1
10621,La P Rh,4.065717359938177,3.0
15072,Ca Mn Nd O Zr,4.074150197977342,4.1
18600,Cs H I In O,5.113320634225607,5.5
19633,Ag I O Tb,5.582554356358536,5.3
27852,C Ce Fe La Mg Nd O Pr,4.058988365115656,4.9
8230,Ba Cr O P Sn,4.527973359357233,5.1
22166,B Mg Sc,4.058988365115656,4.2
37159,Al Fe La Ni O,4.058988365115656,3.1
24895,As H Mn O Si,4.536834847924909,5.0
28289,Bi Co Na O V,4.074150197977342,3.3
1,Ag Sb,4.058988365115656,3.1
2291,Fe S Tl,4.492546147193558,3.8
8905,B K S,4.527973359357233,5.0
32689,H I O Sr,5.5939722565040935,4.3
11789,Br C H K N O Pt,4.916873526615653,4.3
14824,Ba O Pb Zr,4.537413771313109,4.3
16149,H Mg O P Rb,4.527973359357233,4.4
35423,C Lu Mn Si,4.058988365115656,3.8
15983,C H N O P Zn,4.55660117805618,5.2
30143,C H K N O Re S Tm,4.536834847924909,4.3
4919,C Ca Mg O,4.070952364673849,4.4
14868,C F O Rh S,5.106722274211433,5.1
25519,Ir Pr Sb,4.522350470486193,3.3
40352,Mg O Sb Ti,4.537413771313109,5.1
2756,Cs O Rb,4.5120876897646145,5.3
40578,Cu I Te,5.64747985479232,5.2
3747,Mn Pb Se,4.534461084299648,4.7
30270,Co Cr Li Mg Mn Ni O,4.058988365115656,3.7
23222,Er H Na O Se,4.536834847924909,5.3
37134,H In K O Si W,4.074150197977342,5.1
5083,Al H K O S,4.536834847924909,3.1
15630,Al H Li O Si,4.536834847924909,4.5
10381,Fe Nd Pb,4.522350470486193,3.2
39789,Ce Eu O Sm,4.527973359357233,3.7
17200,Ge Sb Tb,4.062215674286633,4.1
5444,Ga In P Se,4.526994101303023,4.6
30759,H In N Se,4.526994101303023,4.9
21311,O Sb Sm Sr,4.065717359938177,5.5
38125,Au K N,4.522350470486193,4.5
40366,Bi Fe Nb O,4.074150197977342,4.2
3965,As Co Li,4.062215674286633,3.7
12478,Ho S Sr,4.492871327739529,4.4
32916,I Sr U,5.899506514310486,6.1
24320,Au Ga Sr,4.058988365115656,3.6
30192,B H I Nd O,5.110715730712495,5.4
33749,O P Si Ti,4.065717359938177,5.0
36294,Ba K O Si Ta,4.527973359357233,3.6
5933,Mo O P Zr,4.537413771313109,4.8
11928,Cd O Pb Sn W,4.537413771313109,5.3
17210,F I O,5.55987309373773,5.7
24345,Pb S Sb Tl,4.537413771313109,5.0
12637,Al B Co Fe,4.058988365115656,2.9
39173,O Sc Si Yb,4.065717359938177,5.2
34701,Pb S Zn,4.492871327739529,4.7
15302,K Li S Tb,4.527973359357233,2.9
26330,Cu La O Zr,4.527973359357233,5.0
28892,Ca F H Na O Si Zr,4.960696446973353,4.6
32316,F Rb Re,5.9705699793479265,6.2
2693,Al Sc Si,4.058988365115656,4.1
24283,C Ca H N O Re,4.527973359357233,5.2
19002,Cr H O Pr,4.559706726132433,4.9
8602,Ga Na O P,4.527973359357233,5.3
16280,Al Cu Gd In,4.058988365115656,4.4
11937,Bi Mg O W,4.527973359357233,4.8
35930,Mg Pr Tl,4.062215674286633,3.5
18772,Sn Tb Ti,4.062215674286633,3.8
21690,Bi Co Y,4.065717359938177,4.3
27354,B H K N,4.536834847924909,5.0
